Mile,Time,,,,,,,,,,,,
0,0.2549,,,,,,,,,,,,
22,0.275,,,,,,,,,,,,
22,0.2764,,,,,,,,,,,,
38,0.2889,,,,,,,,,,,,
38,0.2903,,,,,,,,,,,,
59,0.3,,,,,,,,,,,,
59,0.3097,,,,,,,,,,,,
67,0.3215,,,,,,,,,,,,
67,0.3229,,,,,,,,,,,,
79,0.3319,,,,,,,,,,,,
79,0.3333,,,,,,,,,,,,
89,0.3396,,,,,,,,,,,,
89,0.341,,,,,,,,,,,,
94,0.3472,,,,,,,,,,,,
94,0.3486,,,,,,,,,,,,
99,0.3528,,,,,,,,,,,,
99,0.3542,,,,,,,,,,,,
125,0.3757,,,,,,,,,,,,
125,0.4236,,,,,,,,,,,,
139,0.4389,,,,,,,,,,,,
139,0.441,,,,,,,,,,,,
144,0.4465,,,,,,,,,,,,
144,0.4479,,,,,,,,,,,,
161,0.4729,,,,,,,,,,,,
161,0.4743,,,,,,,,,,,,
192,0.4944,,,,,,,,,,,,
192,0.4958,,,,,,,,,,,,
228,0.5278,,,,,,,,,,,,
228,0.534,,,,,,,,,,,,
328,0.6042,,,,,,,,,,,,
328,0.6215,,,,,,,,,,,,
345,0.6549,,,,,,,,,,,,
345,0.6576,,,,,,,,,,,,
356,0.6889,,,,,,,,,,,,
356,0.6924,,,,,,,,,,,,
383,0.7118,,,,,,,,,,,,
383,0.716,,,,,,,,,,,,
481,0.7799,,,,,,,,,,,,
481,0.7813,,,,,,,,,,,,
548,0.8424,,,,,,,,,,,,
548,0.8507,,,,,,,,,,,,
589,0.8889,,,,,,,,,,,,
589,0.9028,,,,,,,,,,,,
594,0.9236,,,,,,,,,,,,
